criterion_leaf,criterion_path,predictor_path,_mapping_score
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',750.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',720.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',630.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',650.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',920.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',610.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',560.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',600.0
*intrusive_cognition_about_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',520.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',940.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',860.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',830.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',800.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',820.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',820.0
*outburst_disproportionate_to_stressor,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',800.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',880.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',900.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',880.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',980.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',930.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',910.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',920.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',880.0
*tactile_hypersensitivity,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',960.0
