pseudoprofile_id,mapping_part,max_rank_mapping,criterion_columns_mode,n_mapping_rows_raw,n_mapping_rows_agg,n_criteria,n_predictors_rows,n_sparse_cells,weights,missing_as_zero,mapping_score_mode,mapping_score_max,hyde_scale_to_mapping_max,hyde_scale_factor_used,hyde_requires_mapping,expand_mapping_to_hyde_leaves,keep_unmatched_cluster_rows,n_hyde_leaves_scored_raw,notes
pseudoprofile_FTC_ID021,post_per_criterion,,criterion_path,37,37,4,23,37,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID022,post_per_criterion,,criterion_path,39,39,4,25,39,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID023,post_per_criterion,,criterion_path,34,34,4,26,34,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID024,post_per_criterion,,criterion_path,40,40,4,29,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID025,post_per_criterion,,criterion_path,50,50,5,34,50,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID026,post_per_criterion,,criterion_path,34,34,4,23,34,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID027,post_per_criterion,,criterion_path,20,20,2,15,20,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID028,post_per_criterion,,criterion_path,40,40,4,30,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID029,post_per_criterion,,criterion_path,40,40,4,30,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID030,post_per_criterion,,criterion_path,30,30,3,25,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID031,post_per_criterion,,criterion_path,40,40,4,30,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID032,post_per_criterion,,criterion_path,60,60,6,49,60,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID033,post_per_criterion,,criterion_path,30,30,3,18,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID034,post_per_criterion,,criterion_path,60,60,6,37,60,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID035,post_per_criterion,,criterion_path,60,60,6,34,60,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID036,post_per_criterion,,criterion_path,20,20,2,20,20,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID037,post_per_criterion,,criterion_path,30,30,3,14,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID038,post_per_criterion,,criterion_path,46,46,5,29,46,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID039,post_per_criterion,,criterion_path,40,40,4,34,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID040,post_per_criterion,,criterion_path,50,50,5,33,50,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID041,post_per_criterion,,criterion_path,50,50,5,20,50,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID042,post_per_criterion,,criterion_path,26,26,3,24,26,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID043,post_per_criterion,,criterion_path,20,20,2,14,20,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID044,post_per_criterion,,criterion_path,10,10,1,10,10,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID045,post_per_criterion,,criterion_path,27,27,3,14,27,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID046,post_per_criterion,,criterion_path,40,40,4,27,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID047,post_per_criterion,,criterion_path,50,50,5,36,50,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID048,post_per_criterion,,criterion_path,40,40,4,37,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID049,post_per_criterion,,criterion_path,30,30,3,22,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID050,post_per_criterion,,criterion_path,20,20,2,18,20,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
